datno	setno	division	subdivision	calage	calspan	calsigI	calsigD	calsigC	calseqno	c14age	c14sig	c14addsig	c14mulsig	ReservoirAge	ReservoirSig	labid	Date_Modified
7214	20	1	0	13328.0	10	226	0	0.0	1	12210	50	0	1.00	430	100	CAMS-52119	2013-02-14
7215	20	1	0	13328.0	10	226	0	0.0	2	12130	40	0	1.00	430	100	CAMS-53659	2013-02-14
7216	20	1	0	13450.0	10	236	0	0.0	3	12320	30	0	1.00	430	100	NSRL-13965	2013-02-14
7217	20	1	0	13572.0	10	241	0	0.0	4	12530	55	0	1.00	430	100	NSRL-13053	2013-02-14
7218	20	1	0	13572.0	10	241	0	0.0	5	12200	35	0	1.00	430	100	NSRL-13966	2013-02-14
7219	20	1	0	13695.0	10	242	0	0.0	6	12470	35	0	1.00	430	100	NSRL-13967	2013-02-14
7220	20	1	0	13817.0	10	237	0	0.0	7	12590	55	0	1.00	430	100	NSRL-13054	2013-02-14
7221	20	1	0	13817.0	10	237	0	0.0	8	12475	30	0	1.00	430	100	NSRL-13968	2013-02-14
7222	20	1	0	13940.0	10	228	0	0.0	9	12635	30	0	1.00	430	200	NSRL-13969	2012-12-21
7223	20	1	0	14063.0	10	215	0	0.0	10	12800	65	0	1.00	430	200	NSRL-12274	2012-12-21
7224	20	1	0	14063.0	10	215	0	0.0	11	12710	30	0	1.00	430	200	NSRL-13970	2012-12-21
7225	20	1	0	14187.0	10	197	0	0.0	12	12775	25	0	1.00	430	200	NSRL-13971	2012-12-21
7226	20	1	0	14311.0	10	177	0	0.0	13	12700	55	0	1.00	430	200	NSRL-13055	2012-12-21
7227	20	1	0	14311.0	10	177	0	0.0	14	12800	30	0	1.00	430	200	NSRL-13972	2012-12-21
7228	20	1	0	14436.0	10	155	0	0.0	15	12890	100	0	1.00	430	200	CAMS-59349	2012-12-21
7229	20	1	0	14561.0	10	133	0	0.0	16	12840	40	0	1.00	430	200	CAMS-52120	2012-12-21
7230	20	1	0	14561.0	10	133	0	0.0	17	12980	40	0	1.00	430	200	CAMS-53660	2012-12-21
7231	20	1	0	14686.0	10	117	0	0.0	18	12885	25	0	1.00	430	200	UCIAMS-17584	2012-12-21
7232	20	1	0	14686.0	10	117	0	0.0	19	12890	40	0	1.00	430	200	CAMS-59350	2012-12-21
7233	20	1	0	14811.0	10	112	0	0.0	20	13030	40	0	1.00	430	200	CAMS-59351	2012-12-21
7234	20	1	0	14936.0	10	118	0	0.0	21	12985	25	0	1.00	430	200	UCIAMS-17585	2012-12-21
7235	20	1	0	14936.0	10	118	0	0.0	22	13090	40	0	1.00	430	200	CAMS-59352	2012-12-21
7236	20	1	0	15061.0	10	129	0	0.0	23	13055	25	0	1.00	430	200	UCIAMS-17586	2012-12-21
7237	20	1	0	15061.0	10	129	0	0.0	24	13160	40	0	1.00	430	200	CAMS-59353	2012-12-21
7238	20	1	0	15185.0	10	139	0	0.0	25	13320	60	0	1.00	430	200	CAMS-59354	2012-12-21
7239	20	1	0	15307.0	10	147	0	0.0	26	13260	40	0	1.00	430	200	CAMS-59355	2012-12-21
7240	20	1	0	15428.0	10	149	0	0.0	27	13350	40	0	1.00	430	200	CAMS-60321	2012-12-21
7241	20	1	0	15547.0	10	147	0	0.0	28	13380	40	0	1.00	430	200	CAMS-59356	2012-12-21
7242	20	1	0	15662.0	10	140	0	0.0	29	13510	40	0	1.00	430	200	CAMS-59357	2012-12-21
7243	20	1	0	15774.0	10	131	0	0.0	30	13460	40	0	1.00	430	200	CAMS-53785	2012-12-21
