calage,c14agemean,c14sig
-5,202.1049657,19.92242162
-4,201.8432019,16.60186729
-3,201.5220312,14.17539922
-2,200.9860378,12.5955829
-1,200.152374,11.66798816
0,198.8653672,11.26414282
1,197.1464302,11.13171987
2,194.9096435,11.05983908
3,192.6756512,11.06082115
4,190.1215676,11.0385541
5,187.5724338,10.95132739
6,184.7194329,10.88275674
7,181.4231325,10.79047294
8,177.6347261,10.78822219
9,173.760859,10.82908376
10,169.722852,10.82178805
11,166.0036339,10.77076817
12,162.8985448,10.76213629
13,160.8057717,10.66297272
14,159.7299261,10.55082937
15,159.904912,10.44518995
16,160.8494731,10.17145023
17,162.1055323,10.11251704
18,163.1057182,9.850123984
19,163.5818333,9.726129204
20,163.2519388,9.618424927
21,162.0425625,9.545942164
22,159.6578733,9.566325461
23,156.4818729,9.48313938
24,152.7420472,9.455618783
25,149.1530458,9.56032711
26,146.0989329,9.503756843
27,143.5117321,9.590205172
28,141.5165108,9.436650831
29,139.7580167,9.548896428
30,137.4071142,9.449201822
31,134.7475724,9.57435032
32,131.8600409,9.545453815
33,128.6431648,9.472361311
34,125.6278922,9.555967226
35,123.0854331,9.55272595
36,121.1840213,9.515695585
37,120.056543,9.537179968
38,119.3330437,9.463441848
39,118.6531485,9.537881062
40,117.5213241,9.514393396
41,115.5569862,9.551538926
42,112.9649061,9.558513233
43,109.4372489,9.566607536
44,105.7372945,9.610068044
45,101.9688379,9.525591536
46,98.65295814,9.54138796
47,96.30858202,9.555489636
48,94.91163889,9.579839472
49,94.76109022,9.612234253
50,95.84322291,9.518977441
51,97.25661101,9.518006514
52,98.23200788,9.562863141
53,98.62891299,9.470404188
54,98.56678024,9.504337258
55,98.54793236,9.439315669
56,99.10215683,9.405770809
57,100.6854042,9.390641163
58,103.4055198,9.441212086
59,106.8195719,9.396718024
60,110.0384105,9.463666178
61,113.1131694,9.492641621
62,115.1524207,9.563550212
63,116.4225616,9.446127234
64,116.5255229,9.611793337
65,115.9739483,9.520059873
66,115.0048697,9.548417077
67,114.3244535,9.571592401
68,114.2589778,9.56383031
69,115.5171274,9.498572078
70,118.058556,9.470215489
71,121.4291023,9.490651274
72,124.727743,9.564194362
73,127.4812345,9.576327177
74,129.4610834,9.565333146
75,130.2104783,9.571152704
76,129.9986406,9.602478263
77,128.8159714,9.4505407
78,126.7167449,9.330230543
79,125.0496981,9.355582855
80,123.8409746,9.35558671
81,123.2927214,9.360059657
82,124.0302667,9.371327556
83,125.4170948,9.346752336
84,127.1489478,9.387739373
85,128.3428286,9.247062832
86,128.7749094,9.334312266
87,128.2671133,9.381248476
88,127.0787966,9.33287067
89,125.7354525,9.324807186
90,124.6617611,9.380918034
91,124.3315688,9.500052881
92,124.5437001,9.578778964
93,125.3131041,9.529703006
94,126.0210827,9.583702733
95,126.6532019,9.492248016
96,126.984122,9.684266796
97,126.7041739,9.575907962
98,125.8344575,9.68566682
99,125.0694314,9.627682824
100,124.1165504,9.628104586
101,123.3974141,9.683587984
102,123.2797337,9.528788773
103,123.5093316,9.604350716
104,124.0118718,9.60914928
105,124.8339695,9.524723936
106,125.8278921,9.481239537
107,127.0270894,9.485076484
108,128.2216809,9.570207657
109,128.8855773,9.576150856
110,129.0501486,9.66200023
111,128.4748662,9.659559573
112,126.967142,9.593124943
113,124.4813273,9.439794369
114,121.0910174,9.543321599
115,117.2005216,9.423124053
116,112.6794999,9.548547442
117,108.1564475,9.499122659
118,103.8761359,9.62748494
119,100.4025102,9.572953116
120,97.71010824,9.487779965
121,96.08251452,9.428755129
122,95.43963808,9.514301702
123,96.0411445,9.502703283
124,97.60564088,9.462570718
125,99.8643415,9.378988032
126,102.1175603,9.516544954
127,103.658187,9.435293485
128,104.5250642,9.401765172
129,104.7987552,9.437549683
130,104.5233629,9.42514392
131,104.5903243,9.472405286
132,104.9415482,9.418629048
133,106.0038269,9.559341534
134,107.5620441,9.598275728
135,109.8045197,9.660194565
136,112.8022015,9.668303769
137,116.4999082,9.685728721
138,121.0791398,9.675435249
139,126.5214673,9.737688176
140,132.8367276,9.709147033
141,139.0055015,9.808852947
142,144.5236865,9.623993264
143,149.3028106,9.576184505
144,152.8877347,9.617126345
145,155.4606071,9.670829641
146,157.2283801,9.737029776
147,158.8062412,9.634596191
148,160.6519831,9.681088319
149,163.1728901,9.601125707
150,167.1012013,9.672143957
151,172.697332,9.694862325
152,180.202517,9.6658924
153,188.8310333,9.654712842
154,198.2066307,9.64191691
155,207.1120804,9.755240915
156,214.9840641,9.729724893
157,221.1046894,9.662434292
158,225.256533,9.691599954
159,227.4251004,9.7209783
160,227.9195928,9.731832116
161,226.7961094,9.766539572
162,224.46751,9.68749567
163,221.2721051,9.715183018
164,217.5702327,9.678287865
165,213.7129898,9.680323906
166,209.4234984,9.716798292
167,204.7922596,9.660154421
168,199.9886549,9.71245299
169,194.6425409,9.761711055
170,189.3273179,9.686436255
171,184.079557,9.767793603
172,179.4201823,9.700639257
173,175.8167612,9.6657728
174,174.0324546,9.658108457
175,174.0572305,9.592509399
176,175.5438081,9.694953079
177,178.1599539,9.638951807
178,180.9281857,9.733668815
179,183.250974,9.681108445
180,184.6377481,9.546306512
181,184.9056277,9.562965077
182,183.7830384,9.552017709
183,181.7839371,9.561875346
184,179.4356085,9.595576184
185,176.5474855,9.595338481
186,173.7305732,9.561313533
187,170.9289234,9.585608361
188,167.8855612,9.659695863
189,164.656659,9.649342786
190,161.5981536,9.639160517
191,159.4963669,9.555573943
192,158.5208306,9.596552907
193,159.0703668,9.486442287
194,160.8338545,9.480317803
195,163.4536385,9.603969998
196,166.3361801,9.508726165
197,169.0751359,9.689875561
198,171.9049461,9.722942452
199,174.4837506,9.734422459
200,176.6909974,9.751669909
201,178.274617,9.791257222
202,179.2287271,9.821214846
203,179.7841111,9.657421648
204,180.1974057,9.598344765
205,180.3293467,9.697772144
206,179.7288194,9.639746545
207,178.2198294,9.541867537
208,176.0258614,9.565502109
209,173.1493705,9.503685919
210,169.9742408,9.572494036
211,167.2444375,9.498897825
212,164.7914334,9.50730468
213,163.0023965,9.669662185
214,161.7769447,9.56842282
215,160.8686399,9.536092951
216,159.9853334,9.582317873
217,158.6111128,9.617998774
218,156.5568718,9.606906546
219,153.3689325,9.588049844
220,149.4437325,9.679468432
221,144.7320108,9.582241911
222,139.7915128,9.599755285
223,135.2001616,9.531090417
224,131.0345851,9.52561389
225,127.2138436,9.502028315
226,123.4046072,9.374465859
227,119.542567,9.461529713
228,115.281344,9.39954135
229,110.9515744,9.37898518
230,106.7168937,9.455737787
231,102.7976439,9.421544492
232,99.53121618,9.366743507
233,97.350397,9.421649144
234,96.24831919,9.368608702
235,96.18358864,9.482002113
236,96.95916367,9.40044107
237,98.12933029,9.403634565
238,99.48286181,9.378687315
239,101.27979,9.410692838
240,103.1603889,9.361531593
241,105.2106877,9.423228934
242,106.996559,9.363659796
243,108.1370309,9.427359434
244,108.6219727,9.35318709
245,108.3911704,9.426109343
246,107.8608035,9.277055485
247,107.5130014,9.382023415
248,107.7836456,9.272907957
249,108.6017968,9.383604497
250,110.1400582,9.360756168
251,112.2106417,9.271157476
252,114.7493719,9.274006467
253,118.1004713,9.277349403
254,121.632058,9.172718573
255,125.2566658,9.222184936
256,128.7130998,9.224116962
257,131.8335595,9.274228297
258,134.7811507,9.305170292
259,137.8141801,9.3196125
260,140.647344,9.383621662
261,143.6097577,9.387321498
262,146.5975276,9.393587205
263,149.8075732,9.490936236
264,153.0199784,9.420079948
265,156.2095903,9.501939178
266,159.4818657,9.627231907
267,162.6002707,9.556240881
268,165.7102355,9.65967533
269,168.5928444,9.725896225
270,171.150407,9.747411834
271,173.4123953,9.775127378
272,175.0799045,9.754023616
273,175.9118553,9.681495983
274,176.0820873,9.537681785
275,176.0606596,9.624040835
276,176.2935179,9.548573834
277,177.3129967,9.667125274
278,179.3438136,9.609996739
279,182.6688074,9.666276624
280,186.686688,9.612582157
281,191.3756806,9.673054524
282,196.3091197,9.566202161
283,200.9836606,9.524376317
284,205.5861695,9.553115484
285,209.7435581,9.615759984
286,213.5217922,9.547071056
287,217.2113111,9.585425857
