setno calage c14age c14sig calsig
9 48295.0 49142 2270 134
9 48304.0 46526 2220 134
9 48388.0 46612 3376 135
9 48786.0 50412 3938 143
9 48890.0 45054 2252 145
9 49386.0 43609 1187 155
9 49482.0 46513 1814 157
9 49684.0 44507 903 161
9 49703.0 49711 3721 162
9 48160.0 41842 1076 131
9 48122.0 44844 1867 130
9 47932.0 40244 1992 127
9 47707.0 47015 2421 123
9 47571.0 47306 3708 120
9 47517.0 43247 1564 119
9 47470.0 49178 2614 118
9 47245.0 41639 4074 115
9 47245.0 43775 2045 115
9 46979.0 48000 3399 110
9 46867.0 42863 1378 108
9 46745.0 44726 4507 106
9 46546.0 46597 3613 103
9 46455.0 43724 2863 102
9 46195.0 42425 773 98
9 46195.0 44930 2239 98
9 45993.0 43660 1249 95
9 45955.0 42803 1258 95
9 45533.0 42131 583 90
9 45355.0 40459 1483 88
9 45331.0 43817 2053 87
9 45317.0 43123 3927 87
9 45008.0 39445 2849 84
9 44875.0 39455 1296 83
9 44875.0 43181 1743 83
9 44875.0 40682 757 83
9 44791.0 42155 1024 83
9 44648.0 43501 1462 82
9 44573.0 40909 777 81
9 44321.0 41268 1243 80
9 44299.0 38433 606 80
9 44257.0 44842 6902 80
9 44096.0 39433 1336 79
9 44038.0 40012 1034 79
9 44032.0 39748 1061 79
9 43738.0 40758 813 79
9 43738.0 39716 849 79
9 43692.0 41455 1259 78
9 43511.0 42352 1189 73
9 43403.0 42755 1420 69
9 43403.0 40567 821 69
9 43207.0 37395 1550 72
9 42958.0 37881 2208 76
9 42739.0 41116 1126 79
9 42524.0 38158 1179 82
9 42524.0 42034 1852 82
9 42465.0 37859 1098 83
9 42434.0 36563 1091 83
9 42251.0 40723 1401 85
9 42207.0 37831 878 84
9 42204.0 40584 1455 84
9 42126.0 38628 1007 85
9 41776.0 36509 485 83
9 41776.0 36349 845 83
9 41776.0 36142 892 83
9 41565.0 38694 1937 82
9 41384.0 34867 1431 81
9 40998.0 36001 367 82
9 40943.0 35497 732 81
9 40865.0 33503 1144 82
9 40801.0 36755 550 83
9 40560.0 34283 752 90
9 40535.0 34876 1425 91
9 40330.0 40788 2464 97
9 40330.0 37121 917 97
9 40026.0 35560 340 99
9 40023.0 36744 542 99
9 39873.0 34728 320 101
9 39848.0 33648 1481 102
9 39817.0 36194 870 102
9 39709.0 37140 892 101
9 39340.0 34836 1068 101
9 39340.0 34858 456 101
9 39171.0 35070 460 98
9 39087.0 34287 446 94
9 39079.0 35660 772 94
9 38991.0 35322 249 94
9 38972.0 35140 415 94
9 38961.0 36389 831 94
9 38934.0 34213 635 95
9 38888.0 34158 620 96
9 38888.0 34940 678 96
9 38820.0 34950 415 95
9 38805.0 35957 545 95
9 38793.0 36043 880 95
9 38733.0 34199 332 95
9 38619.0 35580 507 92
9 38580.0 36684 902 92
9 38535.0 34514 422 91
9 38464.0 34485 427 91
9 38464.0 35378 458 91
9 38213.0 35636 517 85
